geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8319894005,2.41199243435;Liriodendron;tulipifera;ILE DE BERCY / LAC DAUMESNIL;2002361.0;Arbre;Jardin;BOIS DE VINCENNES;12-09;;12-09;214.0;21.0;A;Inconnue;;1930-01-01T00:00:00+00:00;1;89783;Tulipier
48.8648326277,2.25217460792;Diospyros;kaki;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002388.0;Arbre;Jardin;BOIS DE BOULOGNE;16-13;;000501002;146.0;15.0;A;Inconnue;;1897-01-01T00:09:21+00:00;1;202571;Plaqueminier
48.8231288576,2.33870925824;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;112946.0;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417A2001;425.0;20.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;137664;Arbre aux quarante écus
48.8233452352,2.33968342685;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;110444.0;Arbre;Jardin;PARIS 14E ARRDT;Lac et Berges;;041501007;145.0;5.0;A;Inconnue;''Tortuosa'';1700-01-01T00:09:21+00:00;1;171991;Hêtre
48.861255856,2.3950502607;Platanus;x hispanica;CIMETIERE DU PERE LACHAISE / DIV 45;162943.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-14;;D00000045009;362.0;26.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;195434;Platane
48.86193299,2.39871043218;Acer;monspessulanum;CIMETIERE DU PERE LACHAISE / DIV 77;140495.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-07;;D00000077020;232.0;14.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;199458;Erable
48.864817945,2.252676244;Sequoiadendron;giganteum;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002394.0;Arbre;Jardin;BOIS DE BOULOGNE;16-14;;000501003;634.0;32.0;A;Inconnue;;1872-01-01T00:09:21+00:00;1;221819;Sequoia
48.8873178299,2.31706267506;Diospyros;lotus;SQUARE DES BATIGNOLLES;135415.0;Arbre;Jardin;PARIS 17E ARRDT;17-12;;00000224;157.0;13.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;456;Plaqueminier
48.8229510204,2.33747224929;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;106981.0;Arbre;Jardin;PARIS 14E ARRDT;Flatters;;031401018;335.0;25.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;29555;Arbre aux quarante écus
48.8624518436,2.28959099748;Sequoia;sempervirens;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;108277.0;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;;001005001;182.0;15.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;32735;Sequoia
48.8213206283,2.45536669589;Pinus;bungeana;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002380.0;Arbre;Jardin;BOIS DE VINCENNES;12-19;;12-19;78.0;16.0;A;Inconnue;;2000-01-01T01:00:00+00:00;1;68608;Pin
